Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
74;291;0;0;48;0;17;218;649
75;310;0;0;45;0;23;212;665
89;333;0;0;48;0;28;216;715
98;352;0;0;48;0;40;230;768
134;371;0;0;49;0;61;235;851
173;386;0;0;83;0;69;241;953
165;424;0;0;118;0;38;241;986
171;428;0;0;165;0;44;239;1048
129;426;4;0;218;0;13;264;1054
100;434;5;0;247;0;-25;273;1034
101;426;7;0;247;0;9;280;1071
100;463;7;0;270;0;-26;268;1082
113;478;7;0;294;0;-19;279;1152
113;456;8;0;285;0;28;298;1188
139;498;8;0;262;0;16;313;1236
136;478;6;0;160;0;200;302;1282
184;468;4;0;88;0;214;311;1270
148;454;5;0;117;0;189;323;1236
187;388;3;0;187;0;240;286;1292
227;418;3;0;191;0;244;326;1407
258;398;0;0;179;0;255;466;1558
271;418;0;1;170;0;246;507;1612
257;400;0;2;152;0;245;400;1456
275;375;0;0;167;0;265;405;1487
297;373;0;0;182;0;302;429;1583
307;385;0;0;182;0;284;447;1605
298;397;0;0;183;0;288;471;1636
344;431;0;0;220;0;262;474;1732
256;349;0;0;224;0;291;474;1593
73;332;0;0;47;0;-81;209;580
76;360;0;0;57;0;-98;185;581
77;362;0;0;59;0;-85;171;584
93;371;0;0;62;0;-79;171;618
92;351;0;0;54;0;-63;213;646
104;357;0;0;55;0;-59;215;672
108;356;0;0;62;0;-54;221;692
76;341;0;0;82;0;-45;234;689
74;290;0;0;94;0;-28;242;673
75;332;0;0;100;0;-15;250;741
77;351;0;0;110;0;-35;248;751
80;370;0;0;117;0;-51;257;772
85;415;0;0;129;0;-88;257;797
87;437;0;0;131;0;-100;269;824
84;431;0;0;133;0;-93;281;836
123;470;0;0;130;0;-105;293;911
128;521;0;0;137;0;-148;304;942
125;516;1;0;132;0;-119;315;971
130;526;1;0;134;0;-138;326;978
129;545;1;0;141;0;-131;330;1014
134;573;1;0;140;0;-148;325;1025
149;555;1;0;143;0;-105;305;1048
155;566;1;0;140;0;-94;324;1093
149;584;1;0;145;0;-90;349;1138
150;601;1;0;152;0;-99;351;1156
129;665;1;0;164;0;-132;356;1182
128;661;1;0;204;0;-121;277;1149
138;658;0;0;234;0;-107;273;1196
100;659;0;0;205;0;-174;285;1074
110;664;0;0;228;0;-185;259;1077
120;686;-1;0;243;0;-223;252;1076
106;641;-2;0;242;0;-197;267;1056
114;680;-4;0;232;0;-229;284;1078
94;687;-6;0;244;0;-213;279;1086
113;666;-6;0;256;0;-174;280;1135
103;697;-6;0;257;0;-160;306;1197
100;704;-3;0;254;0;-177;312;1190
118;717;-5;0;272;0;-176;324;1251
130;698;-4;0;315;0;-146;307;1299
135;623;-3;0;345;0;-144;321;1277
147;624;-6;0;317;0;-119;346;1309
120;568;-3;0;332;0;-100;349;1267
197;544;-5;0;409;0;75;437;1657
199;440;-3;0;430;0;179;434;1679
212;459;-1;0;423;0;180;426;1698
215;647;1;0;401;0;76;422;1762
162;694;0;0;411;0;-26;447;1689
146;737;0;0;429;0;-109;423;1627
201;753;1;0;501;0;-30;419;1844
204;744;4;0;352;0;-104;401;1601
1561;251;-1;0;36;0;48;4;1900
1543;274;-7;0;39;0;53;5;1906
1490;302;-8;0;43;0;60;4;1891
1318;318;-3;0;52;0;62;7;1754
1358;318;-6;0;60;0;92;7;1829
1404;341;-8;0;66;0;74;5;1881
1486;379;-13;0;75;0;77;7;2011
1364;392;-13;0;84;0;65;7;1899
1465;408;-7;0;94;0;59;8;2027
1400;397;-5;0;108;0;57;9;1966
1394;406;-6;0;109;0;59;7;1970
1441;384;-8;0;115;0;62;6;2001
1454;378;-10;0;135;2;43;6;2008
1467;374;-8;0;144;14;56;5;2051
1430;379;-2;0;177;26;47;6;2062
1419;384;-7;0;187;67;39;7;2095
1405;390;-5;0;204;117;37;9;2156
1384;384;-10;0;205;129;15;8;2114
1298;378;-10;0;211;135;36;6;2055
1317;322;-2;0;220;137;43;48;2085
1205;274;-9;0;212;132;30;48;1894
1081;286;-11;0;243;134;41;71;1844
1029;267;-8;0;248;138;43;70;1786
958;283;-2;0;242;142;34;68;1725
950;295;2;0;274;133;33;61;1748
945;319;0;0;316;140;21;61;1802
970;303;-4;0;321;136;23;67;1816
889;294;-9;0;322;144;48;69;1758
770;261;-12;0;323;146;79;73;1640
906;254;-36;0;314;148;69;71;1727
887;265;-34;0;336;161;80;78;1771
870;270;-41;0;325;204;80;86;1794
881;283;-58;0;328;282;75;82;1872
878;295;-57;0;326;288;95;91;1916
847;340;-45;0;323;271;65;95;1895
879;341;-45;0;318;285;59;99;1937
894;324;-58;0;303;287;79;105;1934
826;356;-41;1;300;291;50;113;1896
737;318;-49;1;285;298;66;127;1783
784;340;-54;0;338;306;35;139;1889
769;309;-61;0;285;309;57;153;1821
727;315;-62;0;287;332;46;164;1808
718;288;-61;0;291;336;58;179;1810
670;323;-59;0;259;332;46;185;1756
687;311;-45;0;271;294;49;191;1758
693;234;-40;0;294;264;99;193;1738
662;340;-47;0;301;310;50;197;1814
660;327;-50;1;286;327;67;198;1816
598;338;-47;1;300;331;58;212;1790
510;260;-37;0;305;329;96;219;1681
61;451;-7;0;0;0;257;14;775
54;433;-8;0;0;0;312;15;806
81;416;-1;0;0;0;284;15;795
70;403;0;0;0;0;250;15;737
86;345;3;0;0;0;281;16;732
119;334;3;0;0;0;324;17;795
136;333;2;0;0;0;328;17;816
144;343;13;0;0;0;314;18;832
181;382;11;0;0;0;265;22;861
246;288;-4;0;0;0;244;27;801
210;258;20;0;1;0;204;32;725
243;253;7;0;1;0;193;35;733
220;293;15;0;2;0;126;36;692
238;310;18;0;7;0;107;38;718
306;291;2;0;29;0;142;39;808
307;331;0;0;48;0;91;43;820
